nigp_class_3digit,canonical_description,distinct_5digit,distinct_10digit,row_count,source
310,"ENVELOPES, KRAFT, OPEN END, 32 LB., STRING AND BUTTON. IMPRINTED - 9 IN. X 12 IN., WHITE",4,6,15,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
315,"ADHESIVE, MASTIC - E-Z STICK, PER ROLL",1,1,93,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
320,"DOWELS, CONCRETE REINFORCING ROD AND ACCESSORIES - AMBASSADOR STEEL CONCRETE REINFORCEMENT BARS (REBAR) ASTM STANDARD SIZE #5 .625 DIA. (20 FT. LENGTHS)",2,5,20,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
325,"HAY - TIMOTHY HAY, GRASS, AND LEGUME MIX - 40 - 60 LB / BALE",5,24,320,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
340,"FIRE EXTINGUISHER - PURCHSE NEW PRESSURIZED DRY CHEMICAL TYPE EXTINGUSHERS, PORTABLE, 10 POUND",6,56,337,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
345,"MARKING SYSTEM, FIRE HELMET - STAR OF LIFE, MEETING SPEC NO. 13.0118.4",5,22,235,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
350,"FLAGPOLE ACCESSORIES - ROPE, NYLON, SOLID BRAIDED, W/STEEL CABLE",1,3,56,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
360,"TAPE, WARNING (CAUTION) - TAPE, PREFORMED ADHESIVE-BACKED REFLECTORIZED, TYPE 3 WHITE OR YELLOW 6"" TAPE, YARD ROLL - ZONE 2",2,2,6,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
365,"FLOOR MAINTENANCE MACHINES - POLISHING AND SCRUBBING MACHINE, MEDIUM SIZE RIDING FLOOR SWEEPER/SCRUBBER",1,3,4,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
375,"BREAD, WHITE, FAMILY STYLE - 1-1/2 LB. LOAF, MINIMUM 24 SLICES (FOR POLICE DEPARTMENT - VARIOUS LOCATIONS)",1,1,1786,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
390,"WATER, BOTTLED - DRINKING WATER IN 5 GAL. BOTTLES.",2,3,43,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
400,"CASTINGS, CAST IRON FRAMES - MANHOLE AND CATCH BASIN FRAMES WITHOUT LIDS 24 INCH, 177 LBS. LIGHTWEIGHT",1,12,128,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
